,Anteil,Unnamed: 1,Company,BO,DS,Country
0,5.16 %,0,u-blox Holding AG,Credit Suisse Fund Management S.A.,,Luxembourg
1,4.73 %,,u-blox Holding AG,Atlantic Value General Partner Limited,,UK
2,5.53 %,,u-blox Holding AG,Baillie Gifford & Co,,UK
