,Anteil,Unnamed: 1,Company,BO,DS,Country
0,4.99%,0.0,Adecco Group AG,Silchester International Investors LLP,, United Kingdom
1,5.19%,0.0,Adecco Group AG,"BlackRock, Inc.",,
2,,,,BlackRock,, U.S.A.
3,,,,Philippe Foriel-Destezet,, Schweiz
