,Anteil,Unnamed: 1,Company,BO,DS,Country
0,57.47%,0.0,Liechtensteinische Landesbank AG,Fürstentum Liechtenstein,, Fürstentum Liechtenstein
1,3.0%,0.0,Liechtensteinische Landesbank AG,Haselsteiner Familien-Privatstiftung,, 9800 Spittal 
2,3.0%,1.0,Liechtensteinische Landesbank AG,grosso Holding Gesellschaft mbH,, Österreich
3,,,, Drau,, Österreich
