,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.07 %,0,Idorsia AG,Artisan Partners Limited Partnership,,USA
1,1.815%,,Idorsia AG,Georges Gaspard,,France
2,1.815%,,Idorsia AG,David Coti,,United Arab Emirates
3,12.975%,,Idorsia AG,Jean-Paul Clozel,,Schweiz
4,12.975%,,Idorsia AG,Martine Clozel,,Schweiz
5,7.23 %,,Idorsia AG,Rudolf Maag,,Schweiz
6,32 %,,Idorsia AG,Johnson & Johnson,,USA
