,Anteil,Unnamed: 1,Company,BO,DS,Country
0,56.04%,0.0,Ems-Chemie Holding AG,EMESTA HOLDING AG,, c
1,7.86%,0.0,Ems-Chemie Holding AG,Blomi Holding AG,, Switzerland
2,,,,o Schild Treuhand AG,, Schweiz
