,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.001%,0.0,Mobimo Holding AG,Dimensional Holdings Inc.,, c
1,4.95%,0.0,Mobimo Holding AG,"BlackRock, Inc.",,
2,5.5%,0.0,Mobimo Holding AG,Credit Suisse Funds AG,, Zürich
3,,,,BlackRock,, USA (Mother Company)
4,,,,o Corporation Service Company,, USA
