,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.0191%,0,Valiant Holding AG,Swisscanto Fondsleitung AG,, 8001 Zürich
1,3.02%,0,Valiant Holding AG,Credit Suisse Funds AG,, Zürich
2,5.001%,0,Valiant Holding AG,UBS Fund Management (Switzerland) AG,, Switzerland
