,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.17%,0,Landis+Gyr Group AG,Rudolf Maag,, Switzerland
1,3.765%,0,Landis+Gyr Group AG,Kjeld Kirk Kristiansen,, Denmark
2,3.765%,1,Landis+Gyr Group AG,Thomas Kirk Kristiansen,KIRKBI Invest A, Denmark
3,3.765%,2,Landis+Gyr Group AG,Sofie Kirk Kristiansen,S, Denmark
4,3.765%,3,Landis+Gyr Group AG,Agnete Kirk Thinggaard,, Denmark
5,3.32%,0,Landis+Gyr Group AG,JPMorgan Chase & Co.,, USA
