,Anteil,Unnamed: 1,Company,BO,DS,Country
0,1.6603%,0.0,ABB Ltd,ABB Ltd,, Switzerland
1,10.03%,0.0,ABB Ltd,Investor AB,, Sweden
2,3.03%,0.0,ABB Ltd,Artisan Partners Limited Partnership,, United States of America
3,4.21%,0.0,ABB Ltd,"BlackRock, Inc.",,
4,1.48%,0.0,ABB Ltd,Lars Foerberg,, Switzerland
5,1.48%,1.0,ABB Ltd,Christer Gardell,Cevian Capital II Master Fund LP, Sweden
6,1.48%,2.0,ABB Ltd,Goeran Casserloev,Cevian Capital II Co-Investment Fund LP, Sweden
7,1.48%,3.0,ABB Ltd,Paine & Partners Capital Fund III GP Ltd,, Cayman Islands
8,,,,BlackRock,, U.S.A.
