,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.006%,0.0,Siegfried Holding AG,Dimensional Holdings Inc.,, c
1,1.0033333333333332%,0.0,Siegfried Holding AG,René Braginsky,, 8032 Zürich
2,1.0033333333333332%,1.0,Siegfried Holding AG,Susanne Braginsky,Braginsky Family Office AG, 8032 Zürich
3,1.0033333333333332%,2.0,Siegfried Holding AG,David Braginsky,René Braginsky, 642305 Tel Aviv
4,0.75%,0.0,Siegfried Holding AG,Credit Suisse Funds AG,, Zürich
5,0.75%,0.0,Siegfried Holding AG,Credit Suisse Funds AG,, Zürich
6,0.75%,0.0,Siegfried Holding AG,Siegfried Holding AG,, Schweiz
7,0.75%,0.0,Siegfried Holding AG,Siegfried Holding AG,, Schweiz
8,,,,o Corporation Service Company 2711,, USA
