,Anteil,Unnamed: 1,Company,BO,DS,Country
0,12.34%,0.0,Straumann Holding AG,Maag Rudolf,, Switzerland
1,17.3%,0.0,Straumann Holding AG,Straumann Dr. Thomas,, Switzerland
2,3.02%,0.0,Straumann Holding AG,"The Capital Group Companies, Inc.",,
3,4.31%,0.0,Straumann Holding AG,Gabriella Straumann,, Switzerland
4,4.9%,0.0,Straumann Holding AG,Simone Maag de Moura Cunha,, Schweiz
5,7.26%,0.0,Straumann Holding AG,"BlackRock, Inc. (Mother Company)",,
6,,,,The Capital Group Companies,, USA
7,,,,BlackRock,, U.S.A
