,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.03 %,0,OC Oerlikon,Black Creek Investment Management Inc.,,Canada
1,18.379%,,OC Oerlikon,Columbus Trust,,Russia
2,8.0427%,,OC Oerlikon,Amapola Development,,Russia
3,8.0427%,,OC Oerlikon,Ali international Investment,,UK
4,6.785%,,OC Oerlikon,Next Generation Trust,,Russia
