,Anteil,Unnamed: 1,Company,BO,DS,Country
0,0.7725%,0.0,Julius Bär Gruppe AG,Government of Singapore,, Singapore
1,0.7725%,0.0,Julius Bär Gruppe AG,Government of Singapore,, Singapore
2,0.7725%,0.0,Julius Bär Gruppe AG,UBS Fund Management (Switzerland) AG,, Switzerland
3,0.7725%,0.0,Julius Bär Gruppe AG,UBS Fund Management (Switzerland) AG,, Switzerland
4,4.91%,0.0,Julius Bär Gruppe AG,"BlackRock, Inc.",,
5,4.95%,0.0,Julius Bär Gruppe AG,Harris Associates L.P.,, USA
6,9.9834%,0.0,Julius Bär Gruppe AG,MFS Investment Management,, USA
7,,,,BlackRock,, U.S.A. (Mother Company)
