,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.06%,0,Schweiter Technologies AG,1832 Asset Management L.P.,, Kanada
1,6.32%,0,Schweiter Technologies AG,Beat Frey,, Schweiz
2,6.32%,1,Schweiter Technologies AG,Brigitte Frey,KWE Beteiligungen AG, Schweiz
3,6.32%,2,Schweiter Technologies AG,Vanessa Frey,VBF Holding AG, Schweiz
4,6.32%,3,Schweiter Technologies AG,Alexandra Frey,, England
5,2.905%,0,Schweiter Technologies AG,Beat Siegrist,, Schweiz
6,2.905%,1,Schweiter Technologies AG,Irina Siegrist,Beat Siegrist Beteiligungen AG, Schweiz
