,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.14%,0,VZ Holding AG,Mawer Investment Management Ltd.,, Canada
1,60.87%,0,VZ Holding AG,Matthias Reinhart,, Schweiz
