,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.02%,0.0,DKSH Holding AG,"Black Creek lnvestment Management Inc. (""Black Creek"")",, Canada
1,3.06%,0.0,DKSH Holding AG,Matthews Pacific Tiger Fund,, USA
2,9.1%,0.0,DKSH Holding AG,Andreas W. Keller,, Schweiz
3,9.1%,1.0,DKSH Holding AG,Adrian T. Keller,DKH Holding AG, Schweiz
4,9.1%,2.0,DKSH Holding AG,Francoise Blancpain,Diethelm Keller Holding AG, Schweiz
5,9.1%,3.0,DKSH Holding AG,Michele Blancpain,, Thailand
6,9.1%,4.0,DKSH Holding AG,Jean-Daniel de Schaller,, Schweiz
7,6.59%,0.0,DKSH Holding AG,"Matthews International Capital Management, LLC",,
8,,,,Matthews International Capital Management,, USA
