,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.02%,0.0,LafargeHolcim Ltd,Norges Bank (the Central Bank of Norway),, Norway
1,3.09%,0.0,LafargeHolcim Ltd,"BlackRock, Inc.",,
2,8.52%,0.0,LafargeHolcim Ltd,"Schmidheiny, Thomas",,
3,3.143333333333333%,0.0,LafargeHolcim Ltd,Stichting Administratiekantoor Frere-Bourgeois,, Pays-Bas
4,3.143333333333333%,1.0,LafargeHolcim Ltd,"Paul Desmarais Jr,.",Elliot Capital Sarl,
5,3.143333333333333%,2.0,LafargeHolcim Ltd,Andre Desmarais,LTI One, Canada
6,,,,Schmidheiny,, Rapperswil-Jona
7,,,,Paul Desmarais Jr,, Canada
8,,,,BlackRock,, USA
