,Anteil,Unnamed: 1,Company,BO,DS,Country
0,12.835%,0,Clariant AG,Public Investment Fund of Saudia Arabia (PIF),, Kingdom of Saudia Arabia
1,12.835%,1,Clariant AG,Clariant AG,SABIC International Holdings B.V., Switzerland
2,1.745%,0,Clariant AG,Konstantin Alfred Winterstein,, Deutschland
3,1.745%,1,Clariant AG,Elisabeth Prinzessin zu Sayn-Wittgenstein,Blue Beteiligungsgesellschaft mbH, Deutschland
4,3.8%,0,Clariant AG,BlackRock Inc. (Mother Company),, United States
5,5.01%,0,Clariant AG,APG Asset Management N.V.,, Netherlands
