,Anteil,Unnamed: 1,Company,BO,DS,Country
0,0.85%,0.0,Implenia AG,Implenia AG,, Schweiz
1,16.51%,0.0,Implenia AG,Max Rössler,, Schweiz
2,3.005%,0.0,Implenia AG,Dimensional Holdings Inc.,, c
3,4.96%,0.0,Implenia AG,Credit Suisse Funds AG,, Zürich
4,5.03%,0.0,Implenia AG,Norbert Ketterer,, Rüschlikon
5,5.41%,0.0,Implenia AG,Rudolf Maag,, Schweiz
6,,,,o Corporation Service Company,, USA
