,Anteil,Unnamed: 1,Company,BO,DS,Country
0,10.34%,0.0,VAT Group AG,Rudolf Maag,, Switzerland
1,3.04%,0.0,VAT Group AG,"The Capital Group Companies, Inc.",,
2,3.28%,0.0,VAT Group AG,"BlackRock, Inc.",,
3,3.64%,0.0,VAT Group AG,Allianz SE,, Germany
4,8.32%,0.0,VAT Group AG,Invesco Ltd,, Bermuda
5,,,,BlackRock,, USA
6,,,,The Capital Group Companies,, USA
