,Anteil,Unnamed: 1,Company,BO,DS,Country
0,11.37%,0.0,Swiss Re AG,Swiss Re AG,, Mythenquai 50
1,3.44%,0.0,Swiss Re AG,ELM B.V.,, Netherlands
2,5.05%,0.0,Swiss Re AG,"BlackRock, Inc.",,
3,,,,60,, Schweiz
4,,,,BlackRock,, U.S.A.
