,Anteil,Unnamed: 1,Company,BO,DS,Country
0,3.06%,0.0,Komax Holding AG,"Credit Suisse Funds AG, Zürich",,
1,3.07%,0.0,Komax Holding AG,"Alantra EQMC Asset Management, SGIIC, S.A.",,
2,3.18%,0.0,Komax Holding AG,EQMC Europe Development Capital Fund PLC,, Irland
3,3.79%,0.0,Komax Holding AG,"BlackRock, Inc., New York, NY, U.S.A (Mother Company)",,
4,4.11%,0.0,Komax Holding AG,Steiner Leo,, Switzerland
5,4.962%,0.0,Komax Holding AG,Max Koch,, Schweiz
6,,,,Alantra EQMC Asset Management,, Spanien
7,,,,Credit Suisse Funds AG,, Zürich
8,,,,BlackRock,, U.S.A (Mother Company)
